thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,label_header,label_id
-8.933206224038929832e-01,-2.508213677201922565e-01,4.924742617973355829e-02,6.368333506356120832e-01,-1.903616340067035839e-01,1.717609886932779606e+00,1.404499999999999993e+01,1.000000000000000000e+00
-9.326799547017154968e-01,-1.559896146015964380e-01,5.572618187327372380e-02,5.707636856809474857e-01,-1.714956862927244918e-01,1.641744023368328476e+00,1.405000000000000071e+01,1.000000000000000000e+00
-9.646662068478800700e-01,-6.858189886827624482e-02,5.334843678178805004e-02,5.452160142803168519e-01,-1.612448781587138003e-01,1.599569206495869533e+00,1.405499999999999972e+01,1.000000000000000000e+00
-1.002563824729455266e+00,4.746646015500078850e-03,4.554527395654073274e-02,5.303876996040344238e-01,-1.445986670621275394e-01,1.581305411456019439e+00,1.406000000000000050e+01,1.000000000000000000e+00
-1.016417133179853050e+00,8.037122979274539947e-02,3.199104768000089749e-02,5.241065109874223360e-01,-1.362198170414850307e-01,1.556082891985236971e+00,1.406499999999999950e+01,1.000000000000000000e+00
-1.008565635683988937e+00,1.441125204956703876e-01,1.211437041112049459e-02,5.317146867975108826e-01,-1.406973917238492633e-01,1.546441557521019750e+00,1.407000000000000028e+01,1.000000000000000000e+00
-1.003960565221079904e+00,1.754167926313673076e-01,-6.357463214354047362e-03,5.516682806131696370e-01,-1.514534138729844159e-01,1.525335672162992928e+00,1.407499999999999929e+01,1.000000000000000000e+00
-9.737017172256122732e-01,1.994229049839602308e-01,-2.355497154801980408e-02,6.218405104198196920e-01,-1.676669985636047855e-01,1.495542718699869544e+00,1.408000000000000007e+01,1.000000000000000000e+00
-9.512670218265381061e-01,2.179934166821828057e-01,-3.396265502321413332e-02,6.913885036421730801e-01,-1.800660351158071548e-01,1.450424624380098226e+00,1.408500000000000085e+01,1.000000000000000000e+00
-9.140557224861162178e-01,2.475947683184151205e-01,-3.347626965460406140e-02,7.594021092048864885e-01,-1.908648129010055705e-01,1.386988489011715231e+00,1.408999999999999986e+01,1.000000000000000000e+00
